"编号","开始答题时间","结束答题时间","自定义字段","1.你有使用空调的习惯吗？","2.【夏季】当温度达到多少度时会选择开空调","3.【夏季】在开空调时会把温度调到几度？","4.是否清楚空调制冷制热对环境的危害","5.您觉得使用空调对环境的影响有哪些？:全球变暖","5.您觉得使用空调对环境的影响有哪些？:全球气候变化","5.您觉得使用空调对环境的影响有哪些？:臭氧层破坏","5.您觉得使用空调对环境的影响有哪些？:酸化","5.您觉得使用空调对环境的影响有哪些？:富营养化","5.您觉得使用空调对环境的影响有哪些？:珊瑚白化","5.您觉得使用空调对环境的影响有哪些？:海龟雌雄比例失衡","5.您觉得使用空调对环境的影响有哪些？:其他____","5.您觉得使用空调对环境的影响有哪些？:其他____[选项填空]",
"1","2018-05-01 10:50:26","2018-05-01 10:51:01","","A.有","C.26～30度","C.25~27度","A.清楚","","B.全球气候变化","","","","","","","",
"2","2018-05-01 10:51:45","2018-05-01 10:52:28","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"3","2018-05-01 10:59:14","2018-05-01 10:59:22","","B.没有","C.26～30度","B.21～24度","C.不清楚","","","","","","","","","",
"4","2018-05-01 11:00:18","2018-05-01 11:00:50","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"5","2018-05-01 11:05:23","2018-05-01 11:05:40","","B.没有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"6","2018-05-01 11:05:17","2018-05-01 11:05:46","","A.有","B.21～25度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"7","2018-05-01 11:05:29","2018-05-01 11:05:47","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"8","2018-05-01 11:05:20","2018-05-01 11:06:46","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","F.珊瑚白化","","","",
"9","2018-05-01 11:06:45","2018-05-01 11:07:09","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","E.富营养化","","","","",
"10","2018-05-01 11:06:54","2018-05-01 11:07:10","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"11","2018-05-01 11:07:24","2018-05-01 11:07:39","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"12","2018-05-01 11:07:57","2018-05-01 11:08:11","","A.有","A.20度以下","B.21～24度","B.不太清楚","","","","","","","","","",
"13","2018-05-01 11:08:06","2018-05-01 11:08:43","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"14","2018-05-01 11:09:38","2018-05-01 11:09:51","","A.有","D.30度以上","C.25~27度","B.不太清楚","","","","","","","","","",
"15","2018-05-01 11:12:09","2018-05-01 11:12:31","","B.没有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","F.珊瑚白化","","","",
"16","2018-05-01 11:12:28","2018-05-01 11:12:49","","A.有","B.21～25度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"17","2018-05-01 11:13:03","2018-05-01 11:13:17","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"18","2018-05-01 11:13:21","2018-05-01 11:13:44","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"19","2018-05-01 11:13:37","2018-05-01 11:13:55","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
"20","2018-05-01 11:14:43","2018-05-01 11:15:12","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"21","2018-05-01 11:15:44","2018-05-01 11:16:14","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"22","2018-05-01 11:17:41","2018-05-01 11:17:58","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"23","2018-05-01 11:18:50","2018-05-01 11:19:27","","B.没有","C.26～30度","B.21～24度","A.清楚","","B.全球气候变化","C.臭氧层破坏","","E.富营养化","","","","",
"24","2018-05-01 11:20:07","2018-05-01 11:20:22","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"25","2018-05-01 11:20:42","2018-05-01 11:21:10","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"26","2018-05-01 11:22:58","2018-05-01 11:23:41","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"27","2018-05-01 11:27:34","2018-05-01 11:28:06","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"28","2018-05-01 11:28:57","2018-05-01 11:29:51","","A.有","C.26～30度","A.20度以下","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"29","2018-05-01 11:36:18","2018-05-01 11:36:35","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"30","2018-05-01 11:44:26","2018-05-01 11:44:45","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"31","2018-05-01 11:49:41","2018-05-01 11:49:54","","B.没有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"32","2018-05-01 11:50:29","2018-05-01 11:51:28","","A.有","C.26～30度","B.21～24度","A.清楚","","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"33","2018-05-01 12:01:47","2018-05-01 12:02:10","","A.有","C.26～30度","B.21～24度","C.不清楚","","","","","","","","","",
"34","2018-05-01 12:06:21","2018-05-01 12:06:54","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"35","2018-05-01 12:07:07","2018-05-01 12:07:54","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"36","2018-05-01 12:07:52","2018-05-01 12:08:13","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"37","2018-05-01 12:08:01","2018-05-01 12:09:24","","B.没有","D.30度以上","B.21～24度","A.清楚","","","C.臭氧层破坏","","","","","","",
"38","2018-05-01 12:10:08","2018-05-01 12:10:20","","A.有","B.21～25度","C.25~27度","B.不太清楚","","","","","","","","","",
"39","2018-05-01 12:09:58","2018-05-01 12:10:29","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
"40","2018-05-01 12:12:42","2018-05-01 12:12:58","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"41","2018-05-01 12:12:49","2018-05-01 12:13:11","","A.有","C.26～30度","C.25~27度","A.清楚","","","C.臭氧层破坏","","","","","","",
"42","2018-05-01 12:23:01","2018-05-01 12:23:54","","A.有","D.30度以上","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"43","2018-05-01 12:35:09","2018-05-01 12:35:32","","A.有","D.30度以上","B.21～24度","B.不太清楚","","","","","","","","","",
"44","2018-05-01 12:35:55","2018-05-01 12:36:10","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"45","2018-05-01 12:37:58","2018-05-01 12:38:40","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"46","2018-05-01 12:40:29","2018-05-01 12:41:01","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"47","2018-05-01 12:45:38","2018-05-01 12:45:48","","A.有","B.21～25度","C.25~27度","B.不太清楚","","","","","","","","","",
"48","2018-05-01 12:46:21","2018-05-01 12:46:37","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"49","2018-05-01 12:47:01","2018-05-01 12:47:25","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"50","2018-05-01 12:47:47","2018-05-01 12:48:21","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","","","","","","","",
"51","2018-05-01 12:47:55","2018-05-01 12:48:22","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"52","2018-05-01 12:48:27","2018-05-01 12:49:01","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"53","2018-05-01 12:49:45","2018-05-01 12:50:07","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"54","2018-05-01 12:50:45","2018-05-01 12:51:00","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"55","2018-05-01 12:51:10","2018-05-01 12:51:41","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"56","2018-05-01 12:51:31","2018-05-01 12:51:42","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"57","2018-05-01 12:51:52","2018-05-01 12:52:02","","A.有","B.21～25度","C.25~27度","B.不太清楚","","","","","","","","","",
"58","2018-05-01 12:51:56","2018-05-01 12:52:12","","A.有","A.20度以下","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"59","2018-05-01 12:51:50","2018-05-01 12:52:14","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","","","","","","","",
"60","2018-05-01 12:52:08","2018-05-01 12:52:28","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"61","2018-05-01 12:56:34","2018-05-01 12:56:53","","A.有","D.30度以上","C.25~27度","B.不太清楚","","","","","","","","","",
"62","2018-05-01 12:58:59","2018-05-01 12:59:09","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"63","2018-05-01 12:58:57","2018-05-01 12:59:55","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"64","2018-05-01 13:00:21","2018-05-01 13:00:54","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"65","2018-05-01 12:55:03","2018-05-01 13:09:25","","A.有","B.21～25度","C.25~27度","B.不太清楚","","","","","","","","","",
"66","2018-05-01 13:10:18","2018-05-01 13:10:42","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
"67","2018-05-01 13:18:35","2018-05-01 13:18:59","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","","","","","","","",
"68","2018-05-01 13:21:27","2018-05-01 13:21:45","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"69","2018-05-01 13:26:35","2018-05-01 13:27:09","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"70","2018-05-01 13:38:29","2018-05-01 13:38:48","","A.有","C.26～30度","C.25~27度","C.不清楚","","","","","","","","","",
"71","2018-05-01 13:38:41","2018-05-01 13:39:22","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"72","2018-05-01 13:39:18","2018-05-01 13:39:38","","B.没有","D.30度以上","C.25~27度","B.不太清楚","","","","","","","","","",
"73","2018-05-01 13:54:04","2018-05-01 13:54:14","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"74","2018-05-01 13:53:54","2018-05-01 13:54:33","","A.有","B.21～25度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"75","2018-05-01 13:54:57","2018-05-01 13:55:12","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"76","2018-05-01 14:12:11","2018-05-01 14:13:00","","A.有","C.26～30度","A.20度以下","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"77","2018-05-01 14:19:08","2018-05-01 14:19:39","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"78","2018-05-01 14:40:14","2018-05-01 14:41:23","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"79","2018-05-01 15:04:21","2018-05-01 15:04:38","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"80","2018-05-01 15:24:46","2018-05-01 15:25:00","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"81","2018-05-01 15:49:31","2018-05-01 15:51:53","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"82","2018-05-01 16:09:47","2018-05-01 16:10:56","","A.有","D.30度以上","B.21～24度","A.清楚","","B.全球气候变化","","","","","","","",
"83","2018-05-01 18:01:18","2018-05-01 18:02:10","","B.没有","D.30度以上","C.25~27度","C.不清楚","","","","","","","","","",
"84","2018-05-01 18:03:34","2018-05-01 18:04:06","","A.有","D.30度以上","D.28度及以上","A.清楚","","","C.臭氧层破坏","","","","","","",
"85","2018-05-01 19:21:07","2018-05-01 19:21:32","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"86","2018-05-01 20:03:04","2018-05-01 20:03:27","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"87","2018-05-01 20:05:31","2018-05-01 20:06:32","","A.有","B.21～25度","B.21～24度","B.不太清楚","","","","","","","","","",
"88","2018-05-01 20:07:26","2018-05-01 20:08:55","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","","","","","",
"89","2018-05-01 20:29:33","2018-05-01 20:29:47","","A.有","D.30度以上","C.25~27度","B.不太清楚","","","","","","","","","",
"90","2018-05-01 20:30:24","2018-05-01 20:31:00","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"91","2018-05-01 20:35:31","2018-05-01 20:36:16","","A.有","B.21～25度","A.20度以下","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"92","2018-05-01 23:20:46","2018-05-01 23:21:38","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"93","2018-05-02 07:54:33","2018-05-02 07:57:04","","A.有","A.20度以下","D.28度及以上","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","H.其他","便秘",
"94","2018-05-02 10:41:25","2018-05-02 10:43:20","","B.没有","D.30度以上","D.28度及以上","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","H.其他","",
"95","2018-05-02 19:43:53","2018-05-02 19:44:50","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"96","2018-05-02 19:46:50","2018-05-02 19:47:13","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","E.富营养化","","","","",
"97","2018-05-02 19:49:26","2018-05-02 19:49:49","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"98","2018-05-02 20:16:26","2018-05-02 20:16:51","","A.有","B.21～25度","B.21～24度","A.清楚","","","","","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"99","2018-05-02 20:20:45","2018-05-02 20:21:01","","A.有","C.26～30度","B.21～24度","B.不太清楚","","","","","","","","","",
"100","2018-05-02 20:25:53","2018-05-02 20:26:09","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"101","2018-05-02 20:29:32","2018-05-02 20:30:05","","A.有","C.26～30度","C.25~27度","A.清楚","","B.全球气候变化","","","","","","","",
"102","2018-05-02 20:50:03","2018-05-02 20:50:26","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","","C.臭氧层破坏","","","","","","",
"103","2018-05-02 20:59:15","2018-05-02 21:00:08","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","","","","","","","",
"104","2018-05-02 22:26:14","2018-05-02 22:26:29","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
"105","2018-05-03 16:58:21","2018-05-03 16:59:31","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"106","2018-05-03 17:46:01","2018-05-03 17:46:15","","A.有","C.26～30度","C.25~27度","C.不清楚","","","","","","","","","",
"107","2018-05-03 17:53:24","2018-05-03 17:53:40","","A.有","B.21～25度","C.25~27度","C.不清楚","","","","","","","","","",
"108","2018-05-03 18:02:13","2018-05-03 18:02:41","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"109","2018-05-03 18:02:56","2018-05-03 18:03:58","","A.有","C.26～30度","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","","","",
"110","2018-05-03 18:25:01","2018-05-03 18:25:25","","A.有","D.30度以上","C.25~27度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","D.酸化","E.富营养化","F.珊瑚白化","G.海龟雌雄比例失衡","","",
"111","2018-05-03 23:23:23","2018-05-03 23:23:31","","A.有","C.26～30度","C.25~27度","B.不太清楚","","","","","","","","","",
"112","2018-05-04 18:17:35","2018-05-04 18:19:37","","A.有","C.26～30度","A.20度以下","B.不太清楚","","","","","","","","","",
"113","2018-05-06 11:58:36","2018-05-06 11:59:00","","A.有","C.26～30度","B.21～24度","A.清楚","A.全球变暖","B.全球气候变化","C.臭氧层破坏","","","","G.海龟雌雄比例失衡","","",
